Misclassified Image; Certainty;
images/000009_00000870.png;0.509007;
images/000009_00000883.png;0.510768;
images/000009_00000899.png;0.513926;
images/000009_00000920.png;0.507264;
images/000009_00000958.png;0.508547;
images/000009_00000963.png;0.503211;
images/000009_00000979.png;0.507828;
images/000009_00000983.png;0.504278;
images/000009_00001007.png;0.502556;
images/000009_00001030.png;0.502187;
images/000009_00001039.png;0.503209;
images/000009_00001047.png;0.501394;
images/000009_00001059.png;0.506914;
images/000009_00001063.png;0.502102;
images/000009_00001066.png;0.504681;
images/000009_00001088.png;0.506454;
images/000009_00001163.png;0.510326;
images/000009_00001198.png;0.513947;
images/000009_00001199.png;0.500253;
images/000009_00001203.png;0.505157;
images/000009_00001212.png;0.502484;
images/000009_00001225.png;0.502280;
images/000009_00001242.png;0.506638;
images/000009_00001248.png;0.507720;
images/000009_00001258.png;0.504661;
images/000009_00001260.png;0.509867;
images/000009_00001263.png;0.501388;
images/000009_00001270.png;0.501079;
images/000009_00001274.png;0.501678;
images/000009_00001301.png;0.503869;
images/000009_00001308.png;0.502655;
images/000009_00001325.png;0.502527;
images/000009_00001329.png;0.501929;
images/000009_00001342.png;0.502574;
images/000009_00001344.png;0.503288;
images/000009_00001372.png;0.507043;
images/000009_00001378.png;0.505373;
images/000009_00001381.png;0.500612;
images/000009_00001410.png;0.510163;
images/000009_00001411.png;0.500180;
images/000009_00001417.png;0.516813;
images/000009_00001431.png;0.501834;
images/000009_00001448.png;0.501508;
images/000009_00001487.png;0.500623;
images/000009_00001491.png;0.505870;
images/000009_00001492.png;0.505934;
images/000009_00001513.png;0.507778;
images/000009_00001540.png;0.502849;
images/000009_00001597.png;0.512354;
images/000009_00001602.png;0.502118;
images/000009_00001607.png;0.509966;
images/000009_00001632.png;0.502310;
images/000009_00001633.png;0.502945;
images/000009_00001634.png;0.508216;
images/000009_00001646.png;0.501080;
images/000009_00001664.png;0.530901;
images/000009_00001697.png;0.500203;
images/000009_00001728.png;0.504140;
images/000009_00001734.png;0.504706;
images/000009_00001741.png;0.503869;
images/000009_00001752.png;0.501247;
images/000009_00001763.png;0.500587;
images/000009_00001786.png;0.515498;
images/000009_00001801.png;0.512991;
images/000009_00001804.png;0.504038;
images/000009_00001823.png;0.510763;
images/000009_00001857.png;0.513264;
images/000009_00001878.png;0.500415;
images/000009_00001886.png;0.508958;
images/000009_00001892.png;0.501776;
images/000009_00001904.png;0.508047;
images/000009_00001905.png;0.511422;
images/000009_00001911.png;0.504137;
images/000009_00001927.png;0.503838;
images/000009_00001929.png;0.513980;
images/000009_00001966.png;0.500890;
images/000009_00001968.png;0.508621;
images/000009_00001970.png;0.500605;
images/000009_00001985.png;0.500799;
images/000009_00001992.png;0.501880;
images/000009_00002003.png;0.501470;
images/000009_00002013.png;0.505288;
images/000009_00002045.png;0.504227;
images/000009_00002074.png;0.500444;
images/000009_00002097.png;0.505611;
images/000009_00002105.png;0.500721;
images/000009_00002109.png;0.500997;
images/000009_00002134.png;0.505980;
images/000009_00002166.png;0.501396;
images/000009_00002169.png;0.503063;
images/000009_00002174.png;0.506692;
images/000009_00002185.png;0.500423;
images/000009_00002188.png;0.500096;
images/000009_00002194.png;0.501249;
images/000009_00002215.png;0.501625;
images/000009_00002224.png;0.506752;
images/000009_00002237.png;0.503938;
images/000009_00002289.png;0.505194;
images/000009_00002295.png;0.500550;
images/000009_00002321.png;0.504778;
images/000009_00002333.png;0.500417;
images/000009_00002341.png;0.504561;
images/000009_00002344.png;0.502816;
images/000009_00002349.png;0.500862;
images/000009_00002357.png;0.503465;
images/000009_00002367.png;0.500336;
images/000009_00002369.png;0.502922;
images/000009_00002397.png;0.502526;
images/000009_00002410.png;0.503844;
images/000009_00002417.png;0.503612;
images/000009_00002450.png;0.513542;
images/000009_00002459.png;0.503559;
images/000009_00002740.png;0.509987;
images/000009_00002830.png;0.500993;
images/000009_00002935.png;0.519549;
images/000009_00002981.png;0.500441;
images/000009_00002989.png;0.501936;
images/000009_00002990.png;0.503641;
images/000009_00002997.png;0.501033;
images/000009_00003027.png;0.502044;
images/000009_00003030.png;0.500481;
images/000009_00003041.png;0.500143;
images/000009_00003046.png;0.505016;
images/000009_00003069.png;0.500392;
images/000009_00003085.png;0.500376;
images/000009_00003147.png;0.500183;
images/000009_00003161.png;0.500284;
images/000009_00003188.png;0.500520;
images/000009_00003202.png;0.500994;
images/000009_00003204.png;0.500233;
images/000009_00003239.png;0.501258;
images/000009_00003240.png;0.502705;
